,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
015915053,-1,-1,-1,.,.,.
015915054,-1,-1,-1,.,.,.
015915061,.,.,.,.,.,.
015915062,.,.,.,.,.,.
015915101,-1,-1,-1,.,.,.
015915102,-1,-1,-1,.,.,.
015915103,-1,-1,-1,.,.,.
015915104,-1,-1,-1,.,.,.
015915105,-1,-1,-1,.,.,.
015915106,-1,-1,-1,.,.,.
015915108,-1,-1,-1,.,.,.
015915109,-1,-1,-1,.,.,.
015915111,-1,-1,-1,.,.,.
015915112,-1,-1,-1,.,.,.
015915113,-1,-1,-1,.,.,.
015915114,-1,-1,-1,.,.,.
015915115,-1,-1,-1,.,.,.
015915116,-1,-1,-1,.,.,.
015915117,-1,-1,-1,.,.,.
015915118,-1,-1,-1,.,.,.
015915119,-1,-1,-1,.,.,.
015915121,-1,-1,-1,.,.,.
015915122,-1,-1,-1,.,.,.
015915123,-1,-1,-1,.,.,.
015915124,-1,-1,-1,.,.,.
015915125,-1,-1,-1,.,.,.
015915127,.,.,.,.,.,.
015915128,-1,-1,-1,.,.,.
015915131,-1,-1,-1,.,.,.
015915132,-1,-1,-1,.,.,.
015915133,.,.,.,.,.,0
015915134,-1,-1,-1,.,.,.
015915135,-1,-1,-1,.,.,.
015915136,-1,-1,-1,.,.,.
015915137,-1,-1,-1,.,.,.
015915138,-1,-1,-1,.,.,.
015915139,.,.,.,.,.,.
015915140,.,.,.,.,.,-1
015915143,-1,-1,-1,.,.,.
015915144,-1,-1,-1,.,.,.
015915145,-1,-1,-1,.,.,.
015915149,-1,-1,-1,.,.,.
015915150,-1,-1,-1,.,.,.
015915151,-1,-1,-1,.,.,.
015915152,-1,-1,-1,.,.,.
015915156,-1,-1,-1,.,.,.
015915157,-1,-1,-1,.,.,.
015915158,-1,-1,-1,.,.,.
015915159,.,.,.,.,.,.
015915160,-1,-1,-1,.,.,.
015915161,-1,-1,-1,.,.,.
015915162,-1,-1,-1,.,.,.
015915163,.,.,.,.,.,.
015915165,-1,-1,-1,.,.,.
015915166,-1,-1,-1,.,.,.
015915167,-1,-1,-1,.,.,.
015915168,-1,-1,-1,.,.,.
015915169,-1,-1,-1,.,.,.
015915170,-1,-1,-1,.,.,.
015915180,-1,-1,-1,.,.,.
015915181,-1,-1,-1,.,.,.
015915182,-1,-1,-1,.,.,.
015915183,-1,-1,-1,.,.,.
015915184,-1,-1,-1,.,.,.
015915200,.,.,.,.,.,.
015915201,.,.,.,.,.,0
015915202,.,.,.,.,.,.
015915204,.,.,.,.,.,.
015915250,.,.,.,.,.,.
015916001,45,47,80,968,20,56.5
015916003,-1,-1,-1,-1,.,10.3
015916004,.,.,.,.,.,.
015916005,-1,-1,-1,.,.,.
015916006,.,.,.,.,.,.
015916041,-1,-1,-1,.,.,.
015916042,-1,-1,-1,.,.,.
015916043,-1,-1,-1,.,.,.
015916044,-1,-1,-1,.,.,.
015916101,-1,-1,-1,.,.,.
015916102,-1,-1,-1,.,.,.
015916103,-1,-1,-1,.,.,.
015916104,-1,-1,-1,.,.,.
015916105,-1,-1,-1,.,.,.
015916106,-1,-1,-1,.,.,.
015916107,-1,-1,-1,.,.,.
015916109,-1,-1,-1,.,.,.
015916110,-1,-1,-1,.,.,.
015916111,-1,-1,-1,.,.,.
015916112,-1,-1,-1,.,.,.
015916113,-1,-1,-1,.,.,.
015916114,-1,-1,-1,.,.,.
015916115,-1,-1,-1,.,.,.
015917001,30,33,76,805,17,51.7
015917002,.,.,.,.,.,.
015917003,.,.,.,.,.,.
