,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
066902041,66,65,55,59,58,88,77,64,066902041,066902
066903042,66,47,79,63,63,91,70,63,066903042,066903
067902041,66,75,63,87,85,92,92,79,067902041,067902
067903041,83,74,85,61,71,85,91,78,067903041,067903
067904042,66,59,74,68,68,81,88,88,067904042,067904
067907041,50,50,47,59,52,55,74,61,067907041,067907
068901042,52,40,38,48,42,53,72,59,068901042,068901
068901043,52,50,46,57,53,62,76,56,068901043,068901
068901044,56,46,56,54,52,74,74,63,068901044,068901
068901045,52,54,48,61,58,65,81,66,068901045,068901
068901046,69,66,60,64,62,85,92,84,068901046,068901
068901047,48,40,39,41,42,60,68,56,068901047,068901
070801041,67,53,53,65,82,-1,86,-1,070801041,070801
070905041,68,50,50,62,53,80,81,72,070905041,070905
070908042,93,86,81,82,78,92,94,86,070908042,070908
070908044,94,85,81,83,77,93,94,90,070908044,070908
070911041,74,62,69,67,59,93,84,75,070911041,070911
070912042,74,66,61,75,73,91,90,76,070912042,070912
070912043,88,77,75,77,77,92,92,78,070912043,070912
071810001,81,62,55,67,62,82,80,83,071810001,071810
071901041,78,63,65,72,66,95,86,79,071901041,071901
071901042,63,55,72,70,65,79,79,69,071901042,071901
071901044,75,67,60,59,61,85,87,74,071901044,071901
071901045,79,64,65,62,68,88,84,74,071901045,071901
071902040,.,.,.,.,.,.,.,.,071902040,071902
071902041,67,46,57,63,59,75,69,69,071902041,071902
071902042,83,73,74,76,72,91,90,85,071902042,071902
071902043,60,60,52,58,55,72,77,58,071902043,071902
071902044,52,33,59,50,48,71,67,42,071902044,071902
071902045,84,69,77,66,66,81,83,71,071902045,071902
071902046,59,58,57,67,62,87,79,55,071902046,071902
071902047,65,56,62,67,52,80,76,71,071902047,071902
071902048,67,64,63,60,57,85,80,76,071902048,071902
071902049,54,54,47,57,52,75,80,58,071902049,071902
071902051,78,70,72,75,71,68,84,69,071902051,071902
071902052,74,69,70,76,75,88,85,81,071902052,071902
071902053,91,87,91,93,96,99,98,89,071902053,071902
071902054,56,55,54,68,65,81,80,78,071902054,071902
