,SAT_avg,ACT_avg,SAT/ACT_pct
238902,1133,19.3,60.9
238904,836,19.3,76.5
239901,1009,19.5,55.1
239903,924,.,72
240801,.,.,0
240802,.,.,.
240901,835,17.4,31.9
240902,.,.,.
240903,890,18.9,44
240904,785,.,40.7
241901,1018,18.4,66.7
241902,918,19.5,83.3
241903,939,18.4,59.1
241904,1047,19.2,53.5
241906,992,19.9,45.7
242902,.,20.3,89.3
242903,.,22.1,92.9
242904,.,.,.
242905,.,.,.
242906,.,20.2,.
243801,.,.,.
243901,1006,20.3,69.8
243902,978,21.3,81.3
243903,933,20.3,63.6
243905,1033,21,61.2
243906,.,.,.
244901,.,.,16.7
244903,1100,20.6,69.2
244905,.,.,44.4
245901,.,.,.
245902,922,17.7,44.2
245903,922,18.4,55
245904,904,18.5,.
246902,988,20.4,56.3
246904,1055,22.2,73.9
246905,912,18.6,56
246906,993,22,87.5
246907,940,20.8,50
246908,1010,21.9,62.3
246909,1076,22.6,80.5
246911,997,21.2,64.1
246912,885,18.2,66.7
246913,1042,22.6,59.8
246914,.,.,.
247901,1015,20.5,68.1
247903,973,19.9,56.9
247904,954,19.8,50.9
247906,911,19.7,70.6
248901,.,18.9,56.1
248902,.,18.8,.
249901,1001,21.3,62.5
249902,1003,23.1,67.2
249903,1015,22.1,51.8
249904,1016,21.1,50
